artifact_edge_id	loop_ref	artifact_object_id	artifact_role	artifact_category	coverage_resolution	coverage_evidence_kind	coverage_evidence_locator	review_mode	parent_metadata_digest	discovery_manifest_digest
artifact-edge-042134531933154	loop-017569569043082	artifact-object-214938912290337	category_coverage	media	unverified	unverified	unverified	independent_review_approved	sha256:7e967408:cfe6f242:9a6039f0:ce80bfa5:a488933e:440b8564:a889de20:b2ce6e6b	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-042139228872683	loop-141230254233752	artifact-object-124475548163238	category_coverage	state	unverified	unverified	unverified	independent_review_approved	sha256:bef5a9a4:9c83671c:e9464d00:12c8360b:3e4d31d2:d6ad56ed:d7bad30c:c334117d	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-042289639248462	loop-018726859045494	artifact-object-214938912290337	category_coverage	media	unverified	unverified	unverified	independent_review_approved	sha256:646d6636:d69e995e:4cf9ba22:8930e974:5bfd4275:c2e13c82:261cb4fd:1cfec615	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-042395400946817	loop-142595476748867	artifact-object-124475548163238	category_coverage	state	unverified	unverified	unverified	independent_review_approved	sha256:70804c4f:7876f94c:4586d20f:03e38d95:95cee33b:771070fc:2b13e57f:76f58db8	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-042600498560168	loop-259805548423893	artifact-object-214938912290337	category_coverage	media	unverified	unverified	unverified	independent_review_approved	sha256:1b9d5f44:4f9631e1:0dce4cb8:47b1cf67:86d9ea22:5e3e1d22:924bb4c4:cb25a4d1	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-042766149720323	loop-012186019243892	artifact-object-192414584785618	category_coverage	output	unverified	unverified	unverified	independent_review_approved	sha256:9f2212fd:ea74ee07:e0a6d928:48312607:e62d3221:e125ee2b:e26efd4c:61562685	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-042822110641383	loop-253139353642880	artifact-object-135384827864504	category_coverage	cache	unverified	unverified	unverified	independent_review_approved	sha256:8a82fd8c:65577259:a2321835:4ebac907:7af0b33e:ed19c995:88bc1351:c81f665b	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-042832552737841	loop-114285416159046	artifact-object-135384827864504	category_coverage	cache	unverified	unverified	unverified	independent_review_approved	sha256:6dcb3054:54b6a7f0:21f43b20:76b32a72:d81af797:865c098d:4cc81c48:00163629	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-042900288191373	loop-071013759527388	artifact-object-192414584785618	category_coverage	output	unverified	unverified	unverified	independent_review_approved	sha256:22a9ad93:e65754af:40e227fa:e57e2dda:2958c94c:4c36e1b8:6b380894:2f5d8dae	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-042946415483455	loop-007711018030296	artifact-object-100726454068850	category_coverage	transcript	unverified	unverified	unverified	independent_review_approved	sha256:00158725:1a131c74:cc7a7000:adce1e2b:b80285c4:d0487e34:c5004b04:2cc01716	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-042965341926496	loop-124182035701986	artifact-object-192414584785618	category_coverage	output	unverified	unverified	unverified	independent_review_approved	sha256:ded494f3:759b28fc:5c983eb2:a49fa064:acda2dc7:6fd772ce:5eb91d21:c9c40622	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-043127199786203	loop-193053161484370	artifact-object-214938912290337	category_coverage	media	unverified	unverified	unverified	independent_review_approved	sha256:61459a86:7b6a48f3:f2341789:fe9a0359:333658ff:a0f94bfb:a85521b5:9fcf1af9	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-043161295669074	loop-011491986311337	artifact-object-100726454068850	category_coverage	transcript	unverified	unverified	unverified	independent_review_approved	sha256:655fa594:a57e4922:f42431d7:0ac36432:f0c654e9:35c2036a:e155144a:219b4dc3	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-043229661350890	loop-125387356841726	artifact-object-124475548163238	category_coverage	state	unverified	unverified	unverified	independent_review_approved	sha256:e54aabc7:295b0140:cbd2252b:208016cf:366d5d4d:30b1790d:33054308:ea6d7ecb	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-043469626510520	loop-017569569043082	artifact-object-135384827864504	category_coverage	cache	unverified	unverified	unverified	independent_review_approved	sha256:7e967408:cfe6f242:9a6039f0:ce80bfa5:a488933e:440b8564:a889de20:b2ce6e6b	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-043521773515159	loop-093679370195057	artifact-object-135384827864504	category_coverage	cache	unverified	unverified	unverified	independent_review_approved	sha256:6737bfc1:11bd521a:c8a983ba:2a01b025:4bd60f6b:2ea376c6:d302b801:e255108a	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-043547551323054	loop-012940025272182	artifact-object-100726454068850	category_coverage	transcript	unverified	unverified	unverified	independent_review_approved	sha256:76594085:f7632c51:17c57e79:dcf8be54:f665bc87:efef4171:e1e82c5a:32cba6db	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-043724015935646	loop-043580166111727	artifact-object-185297123843262	category_coverage	log	unverified	unverified	unverified	independent_review_approved	sha256:865a48f0:d4fdba00:1cc71142:c7404dae:4fe5bc21:a839e6dc:777083ea:5ca60dd5	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-043750644497011	loop-199837529037220	artifact-object-185297123843262	category_coverage	log	unverified	unverified	unverified	independent_review_approved	sha256:1fba0f0e:e6e410d2:b218daa6:c65a5b11:6a0cee23:70e0bfb9:9ddeaf78:74f4386b	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-044157239520287	loop-083827364278410	artifact-object-135384827864504	category_coverage	cache	unverified	unverified	unverified	independent_review_approved	sha256:0e6ff55f:72e581f1:219e0c68:f5b1dd82:024cc04c:587d75ff:77b3ed9e:22dd1b3c	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-044164908109588	loop-078591854839383	artifact-object-264158322595193	definition	definition	discovered	parent_metadata	parent:definition_metadata	independent_review_approved	sha256:d241b9dc:19540b80:54f69a06:b2e4ccda:a05b0f02:94e4a54e:b9df4425:6c8241ac	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-044207370619992	loop-233705685399778	artifact-object-192414584785618	category_coverage	output	unverified	unverified	unverified	independent_review_approved	sha256:a8ff20fb:556a192b:732e3cca:73224d3f:64fed909:c3d1feb2:8e324019:b73612e9	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-044230906902932	loop-013644272226631	artifact-object-247594235396875	definition	definition	discovered	parent_metadata	parent:definition_metadata	independent_review_approved	sha256:e504ff5e:a219c912:0cf7ca15:4f9adb45:afbca04a:7fe52c4d:a4d01f3f:f0df68af	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-044409018240663	loop-128875166705077	artifact-object-135384827864504	category_coverage	cache	unverified	unverified	unverified	independent_review_approved	sha256:70f0e8fa:68ff9f59:95faee30:4e1bc8e4:5df1c210:3d9fb92c:544e08f8:b59f3e8e	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-044622195210671	loop-268599967669597	artifact-object-100726454068850	category_coverage	transcript	unverified	unverified	unverified	independent_review_approved	sha256:f7c144d5:3f537120:e9b9bd51:e7075fb5:9e05a438:2e470693:669cfd19:f73c66a9	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-044720712962742	loop-234558415149182	artifact-object-264158322595193	definition	definition	discovered	parent_metadata	parent:definition_metadata	independent_review_approved	sha256:8256c55d:2cc75b8d:add30bd2:647048cc:794194d5:4b553781:2cdf8756:2d1d51ef	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-044742841627398	loop-107724355574463	artifact-object-192414584785618	category_coverage	output	unverified	unverified	unverified	independent_review_approved	sha256:2bdefc11:9144b3b2:47c638fb:db2984ec:f413394e:26867357:7b049977:1e24183f	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-044871827276113	loop-068957167622554	artifact-object-100726454068850	category_coverage	transcript	unverified	unverified	unverified	independent_review_approved	sha256:f0a0edb4:a6f03c53:6bc1951e:67b703e5:70761426:555bd645:53b9621d:21ec99a1	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-044945789559692	loop-193703684245922	artifact-object-100726454068850	category_coverage	transcript	unverified	unverified	unverified	independent_review_approved	sha256:8f00a598:af0982cf:120cf28c:5562206b:b36d511a:62971fc8:c150cb5f:764b12a0	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
