effect_edge_id	loop_ref	effect_object_id	effect_role	effect_category	coverage_resolution	policy_status	evidence_kind	evidence_locator	review_mode	parent_metadata_digest	discovery_manifest_digest
effect-edge-108573734487718	loop-003096965137128	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:93e9878e:2b92ccf6:6e501c57:cfa30e75:ef41c83f:12c4d018:8775e6f9:b615b7c7	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-027973792745400	loop-003821600689300	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:35cd9a55:ff180415:a293b8b4:a7d32501:87b68c3e:f7b6ee93:ae84fd94:0c0b1bf4	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-113696890522590	loop-003821600689300	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:35cd9a55:ff180415:a293b8b4:a7d32501:87b68c3e:f7b6ee93:ae84fd94:0c0b1bf4	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-010121653414167	loop-003821600689300	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:35cd9a55:ff180415:a293b8b4:a7d32501:87b68c3e:f7b6ee93:ae84fd94:0c0b1bf4	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-248294386258696	loop-003821600689300	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:35cd9a55:ff180415:a293b8b4:a7d32501:87b68c3e:f7b6ee93:ae84fd94:0c0b1bf4	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-005784765405739	loop-003821600689300	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:35cd9a55:ff180415:a293b8b4:a7d32501:87b68c3e:f7b6ee93:ae84fd94:0c0b1bf4	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-192532466693810	loop-005391477004038	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:5f91d1ab:470d8524:b84a0213:69ed080c:1a3362c8:5e7376df:54ee778e:09dea24b	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-239448201754268	loop-005391477004038	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:5f91d1ab:470d8524:b84a0213:69ed080c:1a3362c8:5e7376df:54ee778e:09dea24b	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-248785847627183	loop-005391477004038	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:5f91d1ab:470d8524:b84a0213:69ed080c:1a3362c8:5e7376df:54ee778e:09dea24b	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-152880580380300	loop-005391477004038	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:5f91d1ab:470d8524:b84a0213:69ed080c:1a3362c8:5e7376df:54ee778e:09dea24b	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-183908834591197	loop-005391477004038	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:5f91d1ab:470d8524:b84a0213:69ed080c:1a3362c8:5e7376df:54ee778e:09dea24b	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-239508071786178	loop-005888075817814	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:9b4b6e4a:eda6ba8a:792c5316:78b0e085:25bccd2b:9b949a73:ca3e3fad:ac8be32e	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-193149793117247	loop-005888075817814	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:9b4b6e4a:eda6ba8a:792c5316:78b0e085:25bccd2b:9b949a73:ca3e3fad:ac8be32e	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-229506205504584	loop-005888075817814	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:9b4b6e4a:eda6ba8a:792c5316:78b0e085:25bccd2b:9b949a73:ca3e3fad:ac8be32e	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
