effect_edge_id	loop_ref	effect_object_id	effect_role	effect_category	coverage_resolution	policy_status	evidence_kind	evidence_locator	review_mode	parent_metadata_digest	discovery_manifest_digest
effect-edge-222921328595055	loop-067167612453823	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:de12435e:161f76d3:861439da:752a7f10:526248ef:b931d87e:b6a1965d:2152cea3	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-146229578512032	loop-067167612453823	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:de12435e:161f76d3:861439da:752a7f10:526248ef:b931d87e:b6a1965d:2152cea3	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-171288978884760	loop-067167612453823	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:de12435e:161f76d3:861439da:752a7f10:526248ef:b931d87e:b6a1965d:2152cea3	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-032162306240649	loop-067167612453823	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:de12435e:161f76d3:861439da:752a7f10:526248ef:b931d87e:b6a1965d:2152cea3	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-224462925384568	loop-068455598684528	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:9b631bf9:03eec97b:87b597ea:b284bf5e:ac1c38d1:4c3f1a4c:28fc9557:b33a4125	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-100590155675663	loop-068455598684528	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:9b631bf9:03eec97b:87b597ea:b284bf5e:ac1c38d1:4c3f1a4c:28fc9557:b33a4125	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-267742108798686	loop-068455598684528	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:9b631bf9:03eec97b:87b597ea:b284bf5e:ac1c38d1:4c3f1a4c:28fc9557:b33a4125	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-027225802498959	loop-068455598684528	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:9b631bf9:03eec97b:87b597ea:b284bf5e:ac1c38d1:4c3f1a4c:28fc9557:b33a4125	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-061895346915860	loop-068455598684528	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:9b631bf9:03eec97b:87b597ea:b284bf5e:ac1c38d1:4c3f1a4c:28fc9557:b33a4125	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-052927285079238	loop-068751521679830	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:89727a12:f8f2be1d:0cd4d39f:321fd2c1:45c434d5:0c7b745c:57569530:f83de33f	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-215063120849450	loop-068751521679830	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:89727a12:f8f2be1d:0cd4d39f:321fd2c1:45c434d5:0c7b745c:57569530:f83de33f	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-014570781427232	loop-068751521679830	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:89727a12:f8f2be1d:0cd4d39f:321fd2c1:45c434d5:0c7b745c:57569530:f83de33f	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-153200273841697	loop-068751521679830	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:89727a12:f8f2be1d:0cd4d39f:321fd2c1:45c434d5:0c7b745c:57569530:f83de33f	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-142777966019380	loop-068751521679830	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:89727a12:f8f2be1d:0cd4d39f:321fd2c1:45c434d5:0c7b745c:57569530:f83de33f	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-090811832155760	loop-068957167622554	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:f0a0edb4:a6f03c53:6bc1951e:67b703e5:70761426:555bd645:53b9621d:21ec99a1	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-187130458343018	loop-068957167622554	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:f0a0edb4:a6f03c53:6bc1951e:67b703e5:70761426:555bd645:53b9621d:21ec99a1	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-204618796733726	loop-068957167622554	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:f0a0edb4:a6f03c53:6bc1951e:67b703e5:70761426:555bd645:53b9621d:21ec99a1	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-228423588222976	loop-068957167622554	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:f0a0edb4:a6f03c53:6bc1951e:67b703e5:70761426:555bd645:53b9621d:21ec99a1	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-239958487699455	loop-068957167622554	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:f0a0edb4:a6f03c53:6bc1951e:67b703e5:70761426:555bd645:53b9621d:21ec99a1	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-221143445865135	loop-068992339772693	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:4dc05c37:1eefe700:a483f0f8:329921dc:ea988840:def5cf94:ea4f894f:a7f6fc6f	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-116184291099450	loop-068992339772693	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:4dc05c37:1eefe700:a483f0f8:329921dc:ea988840:def5cf94:ea4f894f:a7f6fc6f	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-005126352958415	loop-068992339772693	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:4dc05c37:1eefe700:a483f0f8:329921dc:ea988840:def5cf94:ea4f894f:a7f6fc6f	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-081082641254795	loop-068992339772693	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:4dc05c37:1eefe700:a483f0f8:329921dc:ea988840:def5cf94:ea4f894f:a7f6fc6f	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-105633601195924	loop-068992339772693	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:4dc05c37:1eefe700:a483f0f8:329921dc:ea988840:def5cf94:ea4f894f:a7f6fc6f	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-260008325386745	loop-069047625393470	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:9c2323ec:f109095f:95a05b7c:8d6f7389:1bf0da9d:59ce2728:970fc9cb:82dd34ca	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-125458580307759	loop-069047625393470	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:9c2323ec:f109095f:95a05b7c:8d6f7389:1bf0da9d:59ce2728:970fc9cb:82dd34ca	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-164278399714427	loop-069047625393470	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:9c2323ec:f109095f:95a05b7c:8d6f7389:1bf0da9d:59ce2728:970fc9cb:82dd34ca	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-030398467990958	loop-069047625393470	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:9c2323ec:f109095f:95a05b7c:8d6f7389:1bf0da9d:59ce2728:970fc9cb:82dd34ca	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-057311293105768	loop-069047625393470	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:9c2323ec:f109095f:95a05b7c:8d6f7389:1bf0da9d:59ce2728:970fc9cb:82dd34ca	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-105943112917327	loop-070281380868698	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:5a9dc617:977c7578:0df99a36:c65e8fa7:5e8effdd:d4397e4f:a6e4fce4:31812ce0	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-204224653979362	loop-070281380868698	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:5a9dc617:977c7578:0df99a36:c65e8fa7:5e8effdd:d4397e4f:a6e4fce4:31812ce0	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-017772372797783	loop-070281380868698	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:5a9dc617:977c7578:0df99a36:c65e8fa7:5e8effdd:d4397e4f:a6e4fce4:31812ce0	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-020613691349096	loop-070281380868698	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:5a9dc617:977c7578:0df99a36:c65e8fa7:5e8effdd:d4397e4f:a6e4fce4:31812ce0	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-206050000614967	loop-070281380868698	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:5a9dc617:977c7578:0df99a36:c65e8fa7:5e8effdd:d4397e4f:a6e4fce4:31812ce0	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-153945345465234	loop-070953904189323	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:99cf2e39:1d8105ea:83ded262:1fcfef67:58c515b9:cedfc08e:dc29dd16:efc39e95	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-231553716395642	loop-070953904189323	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:99cf2e39:1d8105ea:83ded262:1fcfef67:58c515b9:cedfc08e:dc29dd16:efc39e95	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-241572634722405	loop-070953904189323	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:99cf2e39:1d8105ea:83ded262:1fcfef67:58c515b9:cedfc08e:dc29dd16:efc39e95	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-215527790628864	loop-070953904189323	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:99cf2e39:1d8105ea:83ded262:1fcfef67:58c515b9:cedfc08e:dc29dd16:efc39e95	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-135123884708424	loop-070953904189323	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:99cf2e39:1d8105ea:83ded262:1fcfef67:58c515b9:cedfc08e:dc29dd16:efc39e95	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-143577364455723	loop-071013759527388	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:22a9ad93:e65754af:40e227fa:e57e2dda:2958c94c:4c36e1b8:6b380894:2f5d8dae	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-111630461126875	loop-071013759527388	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:22a9ad93:e65754af:40e227fa:e57e2dda:2958c94c:4c36e1b8:6b380894:2f5d8dae	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-023990083982374	loop-071013759527388	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:22a9ad93:e65754af:40e227fa:e57e2dda:2958c94c:4c36e1b8:6b380894:2f5d8dae	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-197260281412441	loop-071013759527388	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:22a9ad93:e65754af:40e227fa:e57e2dda:2958c94c:4c36e1b8:6b380894:2f5d8dae	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-080957296027186	loop-071013759527388	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:22a9ad93:e65754af:40e227fa:e57e2dda:2958c94c:4c36e1b8:6b380894:2f5d8dae	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-226718997089175	loop-072183417245539	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:affbfdcf:50c84c1d:a0a2937e:02739e43:1ce172cf:cc0fde44:ca179a92:b1794f2e	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-197389234652127	loop-072183417245539	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:affbfdcf:50c84c1d:a0a2937e:02739e43:1ce172cf:cc0fde44:ca179a92:b1794f2e	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-007613600524962	loop-072183417245539	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:affbfdcf:50c84c1d:a0a2937e:02739e43:1ce172cf:cc0fde44:ca179a92:b1794f2e	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-065638152227679	loop-072183417245539	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:affbfdcf:50c84c1d:a0a2937e:02739e43:1ce172cf:cc0fde44:ca179a92:b1794f2e	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-242446572328890	loop-072183417245539	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:affbfdcf:50c84c1d:a0a2937e:02739e43:1ce172cf:cc0fde44:ca179a92:b1794f2e	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-171993804796703	loop-072613646260545	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:91afeb90:fc145f05:3ba71cde:adae7a66:d5661927:010b1d3e:6f3d7a50:9c23c45d	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-005713272845275	loop-072613646260545	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:91afeb90:fc145f05:3ba71cde:adae7a66:d5661927:010b1d3e:6f3d7a50:9c23c45d	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-172341976135143	loop-072613646260545	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:91afeb90:fc145f05:3ba71cde:adae7a66:d5661927:010b1d3e:6f3d7a50:9c23c45d	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-226021801273884	loop-072613646260545	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:91afeb90:fc145f05:3ba71cde:adae7a66:d5661927:010b1d3e:6f3d7a50:9c23c45d	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-097534691858311	loop-072613646260545	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:91afeb90:fc145f05:3ba71cde:adae7a66:d5661927:010b1d3e:6f3d7a50:9c23c45d	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-151661276492583	loop-073990277061313	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:b4ea7d48:89bd465e:38906572:da5805d5:c3b54d43:acba26d2:24653657:4aedceeb	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-172598517635937	loop-073990277061313	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:b4ea7d48:89bd465e:38906572:da5805d5:c3b54d43:acba26d2:24653657:4aedceeb	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-139052972978331	loop-073990277061313	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:b4ea7d48:89bd465e:38906572:da5805d5:c3b54d43:acba26d2:24653657:4aedceeb	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-011734012924221	loop-073990277061313	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:b4ea7d48:89bd465e:38906572:da5805d5:c3b54d43:acba26d2:24653657:4aedceeb	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-022603094342698	loop-073990277061313	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:b4ea7d48:89bd465e:38906572:da5805d5:c3b54d43:acba26d2:24653657:4aedceeb	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-164865411089312	loop-074474204902689	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:2149fa33:0455d7bb:ddc23b8b:31cd508a:c7827a2b:07c545c1:b113c550:a7da5684	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-123252711159678	loop-074474204902689	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:2149fa33:0455d7bb:ddc23b8b:31cd508a:c7827a2b:07c545c1:b113c550:a7da5684	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-088292459013629	loop-074474204902689	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:2149fa33:0455d7bb:ddc23b8b:31cd508a:c7827a2b:07c545c1:b113c550:a7da5684	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-134751215842086	loop-074474204902689	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:2149fa33:0455d7bb:ddc23b8b:31cd508a:c7827a2b:07c545c1:b113c550:a7da5684	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-056092570438943	loop-074474204902689	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:2149fa33:0455d7bb:ddc23b8b:31cd508a:c7827a2b:07c545c1:b113c550:a7da5684	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-221215615086272	loop-076680563347340	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:dc9ef91b:ca9ae1d6:b57a53c1:146c3a3f:739c90ea:c0f1c7af:1e916984:c5873475	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-110329872398376	loop-076680563347340	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:dc9ef91b:ca9ae1d6:b57a53c1:146c3a3f:739c90ea:c0f1c7af:1e916984:c5873475	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-276203000932359	loop-076680563347340	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:dc9ef91b:ca9ae1d6:b57a53c1:146c3a3f:739c90ea:c0f1c7af:1e916984:c5873475	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-039833992854336	loop-076680563347340	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:dc9ef91b:ca9ae1d6:b57a53c1:146c3a3f:739c90ea:c0f1c7af:1e916984:c5873475	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-012861577565832	loop-076680563347340	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:dc9ef91b:ca9ae1d6:b57a53c1:146c3a3f:739c90ea:c0f1c7af:1e916984:c5873475	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-094843029151459	loop-076977415254469	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:caf9fd56:128592f1:b63eb116:c8615098:a2593270:dddb4e94:e719f551:6802430a	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-114002521600539	loop-076977415254469	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:caf9fd56:128592f1:b63eb116:c8615098:a2593270:dddb4e94:e719f551:6802430a	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-274984573234222	loop-076977415254469	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:caf9fd56:128592f1:b63eb116:c8615098:a2593270:dddb4e94:e719f551:6802430a	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-259205143142953	loop-076977415254469	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:caf9fd56:128592f1:b63eb116:c8615098:a2593270:dddb4e94:e719f551:6802430a	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-013954877933646	loop-076977415254469	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:caf9fd56:128592f1:b63eb116:c8615098:a2593270:dddb4e94:e719f551:6802430a	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-176700634332375	loop-078118127529440	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:cf5357e8:1a9271fc:c8ed9cd7:d255ca7a:7e3deaa5:a615c188:0385c45a:22c763b0	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-158941577146340	loop-078118127529440	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:cf5357e8:1a9271fc:c8ed9cd7:d255ca7a:7e3deaa5:a615c188:0385c45a:22c763b0	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
